DATE	SOURCE	MESSAGE
2022-09-04 14:09:15.008404	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:09:25.289806	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:09:36.059141	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:09:46.205520	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:09:56.418112	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:10:06.638262	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:10:16.880289	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:10:27.132676	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:10:37.376804	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:10:47.628496	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:10:57.926128	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:11:08.262050	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:11:18.472257	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:11:28.691012	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:11:38.918040	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:11:49.116018	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:11:59.354479	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:12:09.522555	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:12:19.726150	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:14:42.420820	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:17:05.779351	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:19:29.140188	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:19:39.465728	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:19:49.702442	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:19:59.908832	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:20:10.164036	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:20:20.415742	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:22:43.698881	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:22:54.099980	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:23:04.389288	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:23:14.570190	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:23:24.827674	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:23:35.031427	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:23:45.246387	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:23:55.479430	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:24:05.908413	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:24:16.195430	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:24:26.471334	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:24:36.714615	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:24:46.940624	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:24:57.218143	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:25:07.500428	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:25:19.335682	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:25:29.600259	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:25:39.838686	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:25:50.070815	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:26:00.320380	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:26:10.584747	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:26:20.851662	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:26:31.082652	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:26:41.338798	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:26:51.552994	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:27:01.823260	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:29:23.030315	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:29:33.421950	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:29:43.685776	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:32:06.891793	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:34:30.247682	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:34:40.497153	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:34:50.816383	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:35:01.094528	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:35:11.343437	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:35:21.572455	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:35:31.805652	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:35:42.064712	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:35:52.351933	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:36:02.589283	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:36:12.860650	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:36:23.107621	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:36:33.449607	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:36:43.667579	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:39:06.751988	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:39:17.313634	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:39:27.577133	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:39:37.854849	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:39:48.129186	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:39:58.383239	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:40:08.734065	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:40:18.992096	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:40:29.255215	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:42:52.035850	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:43:02.264276	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:43:12.560104	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:43:22.726076	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:43:32.976040	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:43:43.250318	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:43:53.472563	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:44:03.773308	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:44:14.019048	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:46:37.289784	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:46:47.599304	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:46:57.892726	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:47:08.157756	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:47:18.406944	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:47:28.642617	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:47:38.869224	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:50:02.067072	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:50:12.323205	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:52:35.750215	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:52:46.040922	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:52:56.294790	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:53:06.519364	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:53:16.742150	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:53:27.105583	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:53:37.449552	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:53:47.679131	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:53:57.927849	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:54:08.178783	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:54:18.418939	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:54:28.699841	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:54:39.110675	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:54:49.499677	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:54:59.733968	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:55:09.915194	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:57:32.653723	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:57:42.906679	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:57:53.194110	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:58:03.451905	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:58:13.677087	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:58:23.909140	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:58:34.110318	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:58:44.339652	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:01:07.718208	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:01:17.976085	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:01:28.149785	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:01:38.371586	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:01:48.596431	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:01:58.828268	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:02:09.073145	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:02:19.323946	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:02:29.565126	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:02:39.815920	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:02:50.039502	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:03:00.723993	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:03:11.010917	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:05:33.971065	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:05:44.295206	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:05:54.590718	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:06:04.856998	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:06:15.050995	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:08:38.253827	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 15:08:48.518498	Wall Street Journal Business	'NoneType' object is not subscriptable
