DATE,TITLE,SUMMARY
2023-01-06 16:17:25,10-year-old Australian boy remains in coma following helicopter crash that killed 4,An accident involving two helicopters killed four people in Australia earlier this week. A 10-year-old boy who was involved in the crash is still in a coma.
2023-01-06 16:12:18,WATCH: Safari tourists chased by rhinos in bone-chilling videos at Indian parks,"Two videos from Dec. 2022 in India show rhinos charging after safari tourists in an effort to defend its territory, each time sending the tourists into a wild panic."
2023-01-06 16:40:12,"Chad's government foils attempt to destabilize country, undermine the constitution",Eleven people in Chad attempted to destabilize the country and undermine the constitution. Chad's government was able to foil the attempt.
2023-01-06 18:57:35,"Building collapse in northern Iraqi city killing 3, injures 9","A building under construction collapsed Thursday in Iraq's northern city of Mosul, killing three and injuring nine. Workers were casting the roof of the building with cement."
2023-01-06 19:38:00,Greeks celebrate Epiphany with blessings of the water after 2 years of COVID restrictions,"Greeks celebrated the Epiphany, also known as Three Kings Day, after two years of COVID-19 restrictions. The celebrations included blessings of the water ceremonies."
2023-01-06 21:15:57,"Mexican authorities say 10 military personnel, 19 cartel members killed in raid to arrest El Chapo's son","Mexican authorities released more details about a Thursday morning raid that erupted into a small war as police successfully arrested the son of Mexican drug kingpin Joaquin ""El Chapo"" Guzmán."
2023-01-06 13:44:14,"Sinaloa, Mexico, engulfed by violence, chaos after El Chapo son arrest, ahead of Biden visit to country","The region of Mexico where Ovidio Guzmán — the son of jailed drug cartel kingpin Joaquin ""El Chapo"" Guzmán — was taken into custody has now been hit with violence."
2023-01-06 22:09:43,Israeli ambassador slams UN for meeting over visit to Temple Mount,"Supporters of Minister Itamar Ben-Gvir stress that he did not walk on the site of the Holy of Holies and did not pray, thereby avoiding any violations of policy."
2023-01-07 14:03:15,Russia fighting continues at 'routine level' despite Christmas ceasefire,Russia's war effort in Ukraine has persisted at a 'routine level' despite Russian President Vladimir Putin's order for a ceasefire over Orthodox Christmas.
2023-01-07 13:41:51,Zelenskyy urges Russian citizens to oppose war after rejecting Putin ceasefire: 'end your state's aggression',Ukrainian President Voldymyr Zelenskyy rejected Vladimir Putin's calls for a ceasefire and instead appealed to Russian citizens to oppose his deadly war.
