DATE,TITLE,SUMMARY
2023-01-24 00:14:05,Senate GOP to McCarthy: Debt fight is all yours,A handful of Republican senators helped twice raise the nation's borrowing ceiling in 2021. They're less willing to step into the breach this time.
2023-01-25 15:38:06,McCarthy ‘standing by’ Santos amid Ethics investigation,
2023-01-25 14:23:04,'Political vengeance': Swalwell responds after McCarthy ousts him from committee,
2023-01-25 09:30:00,Why the Senate GOP's McDaniel for RNC caucus is surprisingly small,"Many Republican senators no longer see the RNC as a critical power player, and couldn't even say when the upcoming election for chair would take place."
2023-01-25 02:20:23,Dems mobilize to defend Omar in face of GOP defections,"McCarthy plans to hold a House vote to remove her from the Foreign Affairs panel, but it’s unclear that he’ll have enough support in his conference."
2023-01-25 02:00:25,McCarthy taps GOP members to investigate Covid policies,"The panel, which will include Rep. Marjorie Taylor Greene, is expected to investigate the origins of the virus and pandemic restrictions."
2023-01-25 01:29:07,McCarthy names GOP members to run sweeping investigative panel,"As expected, Rep. Jim Jordan will run the subcommittee. It will also include a handful of the speaker's allies and two of his detractors."
2023-01-25 00:26:29,Ticketmaster takes hot seat over antitrust scrutiny at Senate hearing,
2023-01-24 22:40:24,New GOP senator irks colleagues with Judiciary committee push,"First-term Missouri Sen. Eric Schmitt wants a spot on the coveted panel, and is even calling his colleagues asking if they'll step aside."
2023-01-24 18:32:38,"Sen. Cornyn: Debt ceiling debate is between Biden and House GOPs, not Senate",
2023-01-24 17:42:21,‘We apologize to the fans’: Live Nation president blames bots for Taylor Swift ticket fiasco,
2023-01-24 16:49:53,‘She’s chair captain’: Ticketmaster hearing opens with Taylor Swift puns,
2023-01-26 15:23:39,"Sanders: GOP won’t ‘get away with’ cuts to Social Security, Medicare and Medicaid",
2023-01-26 09:30:00,Veterans of the Obama-era debt ceiling standoff on the current one: We may be doomed,"Financial experts and political operatives experiencing debt ceiling déjà vu fear this time around, the ending could be catastrophic."
2023-01-26 09:30:00,Here is how Ruben Gallego believes he can win Arizona’s Senate seat,A three-way race creates some interesting strategic questions. The newly announced candidate answers them here.
2023-01-25 23:29:24,Cotton vows to block Biden nominees over classified documents flap,The Arkansas GOP senator emerged from a briefing with Biden officials and accused the administration of “stonewalling” Congress over material found at the president's home.
2023-01-25 22:11:22,Rep. Auchincloss reads AI-generated speech on House floor,
2023-01-25 21:13:15,"Rand Paul eyes cuts to military, welfare spending ahead of debt limit talks",
2023-01-25 19:29:08,Omar: Policy differences are not cause for committee removal,
2023-01-25 16:28:06,"McCarthy broaches Santos, Omar and other panel dramas in closed-door meeting","Asked whether he believed he had the speaker’s support after the GOP conference meeting on Wednesday, the headline-grabbing New York Republican evaded the question."
2023-01-25 16:07:33,"Scalise: House will investigate Covid origin, nursing home deaths",
2023-01-27 09:30:00,"‘I have no enemies, at least’: Where Santos really stands in the House GOP","During conversations with House Republicans, a picture emerged of someone more reserved among his colleagues than his recent spotlight-seeking suggests."
2023-01-27 09:30:00,"As Santos digs in, both parties ramp up campaign plans for his demise",The freshman fabricator is showing no signs of a departure that would trigger a special election. But his GOP and Democrats are preparing anyway.
2023-01-27 01:19:55,"Musk wishes McCarthy happy birthday, and talks Twitter too",It was apparently Musk’s first visit to the Capitol in the 118th Congress.
2023-01-26 18:32:20,Schumer asks FTC to investigate ‘JR-15’ rifle marketed to children,
2023-01-26 17:40:10,McConnell tears into Manchin on Senate floor for trying to cut EV tax credits,
2023-01-26 17:18:01,Dems urge Biden to ‘reverse course’ on Title 42,
2023-01-26 16:59:21,‘Revenge tour’: Jeffries slams McCarthy over threat to remove Omar from committee,
2023-01-27 20:08:54,AOC in line to become her party's No. 2 on Oversight panel,She’s expected to play a larger role — as high as vice ranking member — given her close relationship with top committee Democrat Rep. Jamie Raskin.
2023-01-27 20:06:58,Campaign finance regulator asks Santos to clarify who's in charge of his political accounts,"Santos' campaign changed its treasurer in new filings this week, but a lawyer for the person listed said he wasn't actually involved."
2023-01-27 16:16:15,Eric Adams calls for Santos to step down,"“I believe it’s time for him to leave,” the New York mayor said."
2023-01-29 15:13:21,"Time for ‘national conversation’ on policing, Durbin says",The Illinois senator spoke of a possible revival of legislation crafted after the death of George Floyd but never passed.
2023-01-29 14:31:58,Warner and Rubio together call for document oversight for national security,"“We are united in we have to find a way to do our job. That means we need these documents,” Sen. Mark Warner said."
2023-01-29 17:41:19,Jordan: Legislation alone wouldn’t have stopped Nichols beating,"“I don't know that any law, any training, any reform is going to change — you know, this man was handcuffed, they continued to beat him,” Rep. Jim Jordan said Sunday."
2023-01-29 16:34:25,McCarthy optimistic about agreement with Biden on debt ceiling,"“His staff tries to say something different, but I think the president will be willing to make an agreement together,” he said."
2023-01-30 18:32:53,House Dems tap Hoyer to lead new regional council,"The effort, focused on reinvigorating messaging around the party's legislative achievements last Congress, is likely to ensure the former majority leader maintains influence and relevance."
2023-01-30 09:30:00,House GOP grits its teeth for the ‘big lift’: A budget battle,"Republicans won the majority urging cuts to federal spending in exchange for raising the debt limit, without saying where they’d start. They’ll soon have to try."
2023-01-30 09:30:00,Schumer plots debt ceiling course against McCarthy: ‘We’ll win’,"The new GOP speaker’s reply: “So, he wants somebody to lift the debt ceiling, but he won’t tell the American people where he’ll spend money?”"
2023-01-30 09:30:00,The House GOP’s investigations: A field guide,"From the Justice Department to Hunter Biden to the coronavirus, the Republican majority is casting a wide net. It all begins this week."
2023-01-31 17:28:20,Stefanik confirms Santos voluntarily removed himself from committees,
2023-01-31 17:05:40,'No deadline on equality': Dems renew push to ratify Equal Rights Amendment,
2023-01-31 16:48:21,‘Don’t wait until May’: Scalise pushes White House to end Covid emergency now,
2023-01-31 15:58:48,Dems name new members to combat GOP investigations — including Schiff,"The House this week approved the full roster of lawmakers named to the Oversight and Judiciary Committees, the front lines of probes into the Biden administration."
2023-01-31 15:14:06,A Santos surprise: Relieving GOP trouble after causing plenty,The New York Republican told colleagues he'd forgo committees as his party struggles to find the votes to eject a Democrat from one of her panels.
2023-01-31 05:00:00,The sights and sounds near Rep. Santos’ office,
2023-01-30 09:30:00,The House GOP is starting its many investigations this week. Here’s what to know.,"From the Justice Department to Hunter Biden to the coronavirus, the Republican majority is casting a wide net. It all begins this week."
2023-01-31 22:15:26,"Longtime Santos treasurer is out, she tells federal regulator",The New York Republican announced a new treasurer for his political groups on Tuesday evening.
2023-01-31 15:14:06,"As Santos passes up his panels, GOP prepares to boot Omar from hers","Soon after New York Republican told colleagues he'd forgo committee assignments, his party pushed toward ejecting a progressive from one of her own."
2023-02-01 19:08:26,Guns in the House? A raucous Natural Resources panel debate,Rep. Jared Huffman led the push to reinstate an explicit ban on firearms in the committee's hearing room.
2023-02-01 18:14:50,Biden and McCarthy meet as White House aides envision a debt ceiling off-ramp,Their first one-on-one sitdown will provide both sides a chance to size each other up ahead of talks that could drag for months.
2023-02-01 18:08:38,McCarthy defends booting Omar from Foreign Affairs Committee,
2023-02-01 17:52:46,McCarthy says he won’t ‘play political games’ on debt limit,
2023-02-01 09:30:00,House GOP leaps headlong into divisive Mayorkas impeachment debate,Even the conservatives clamoring to investigate and boot the DHS chief over his handling of the border acknowledge Republicans aren't united yet.
2023-02-01 00:32:13,"Omar, now a Dem unifier, faces down her GOP critics","As Republicans move to oust her from a committee she clearly holds dear, the Minnesota progressive drew a parallel between Kevin and Joseph McCarthy."
2023-02-02 17:55:45,Omar gives fiery speech before removal from committee,
2023-02-02 17:16:46,Ocasio-Cortez: Omar vote is 'about targeting women of color',
2023-02-02 16:55:32,Rep. Tony Gonzales criticizes effort to remove Omar from committee,
2023-02-02 09:30:00,"House GOP passes first big whip test, ousting Omar","After an early struggle, the new majority found the votes to yank the Minnesota progressive from the Foreign Affairs Committee, a panel she personally holds dear."
2023-02-02 09:30:00,Here's how the debt crisis could end — if Biden-McCarthy talks fail,"Who’s going to steer away from the cliff? Inquiring minds in Congress, on Wall Street and across the country want to know. Here are some answers."
2023-02-01 23:22:42,'Loaded weapons?': Tensions flare during gun debate in committee,
2023-02-01 22:40:22,House Dem laments ‘friendly fire’ after losing a plum panel seat,"Rep. Mike Quigley (D-Ill.), one of the party's more senior Intelligence Committee members, isn't returning to its ranks — despite support from Nancy Pelosi to remain."
2023-02-01 21:21:28,Dems name former Trump impeachment officials to GOP investigative panel,"Speaker Kevin McCarthy gets to approve any lawmakers on the subcommittee, but has said he would allow Democrats to name their members without interference."
2023-02-01 18:14:50,"Biden and McCarthy hold ‘first good’ meeting on debt ceiling, but ‘no agreements, no promises’",Their one-on-one sit down at the White House provided both sides a chance to size each other up ahead of talks that could drag for months.
2023-02-03 17:50:07,Spartz won't seek elected office in 2024,The Indiana Republican had considered a Senate bid that would have pitted her against fellow Rep. Jim Banks (R-Ind.).
2023-02-03 09:30:00,Progressive Rep. Delia Ramirez set to give State of the Union response,The first-term Illinois lawmaker is expected to respond to President Joe Biden's speech and rebut the Republican addresses by Arkansas Gov. Sarah Huckabee Sanders and Rep. Juan Ciscomani.
2023-02-03 09:30:00,He's a Texas border-district Republican. And he says the right's new immigration bill is a 'bad idea.',"Texas Rep. Tony Gonzales is challenging conservatives with a rare call for nuance: ""We can't just throw bombs and rhetoric and expect people to reelect us."""
2023-02-03 00:56:57,Dems fret policing talks will be tangled with Tim Scott’s presidential hopes,Democrats acknowledge they'll have to negotiate with Republicans on a policing bill after the brutal death of Tyre Nichols. But GOP lawmakers were left out of talks with President Joe Biden on Thursday.
2023-02-02 09:30:00,Here's how the debt crisis could end if Biden-McCarthy talks fail,"Who’s going to steer away from the cliff? Inquiring minds in Congress, on Wall Street and across the country want to know. Here are some answers."
2023-02-06 09:30:00,Congressional centrists plot deal-cutting course in divided government,"Despite a much tougher atmosphere with a GOP House, some senators are hoping against the odds that they can keep a streak of bipartisan action going."
2023-02-07 09:30:00,Klobuchar rising: Leadership path opens for Minnesota Dem,"As the Midwesterner joins top party leadership, she could soon face a choice between further testing her clout inside the Capitol and another White House bid."
2023-02-06 23:01:45,"McCarthy says cuts to Medicare, Social Security are ‘off the table’",
2023-02-08 09:30:00,House GOP’s under-the-radar Hunter Biden problem: DOJ got there first,"Any indictment of President Joe Biden’s son, who’s long been under investigation, would effectively close off certain paths for Republicans."
2023-02-08 03:22:12,The debt moment when Biden’s State of the Union turned spicy,What it looked like on the House floor after the president warned that some GOP lawmakers were playing with fire on the nation’s bills.
2023-02-07 22:11:58,"Democratic Reps. Dan Goldman, Ritchie Torres call on Santos to resign",
2023-02-09 19:56:23,Santos was charged with theft in 2017 case tied to Amish dog breeders,The New York congressman had the charge dismissed and his record expunged after claiming his checkbook was stolen.
2023-02-09 17:27:03,Small town mayor files to challenge Menendez in 2024 Democratic primary,"Joe Signorello III has developed a relatively high profile for a mayor of a town of just 14,000."
2023-02-13 09:30:00,Conservatives gloat as Congress starts off with little to show,"The House has been busy on matters that won't become law, while the Senate's doing the bare minimum. And the GOP's right flank is feeling good."
